codigo_producto,caja_grosor_mm,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto
BR0148,2.7,400.0,297.4,199.4
BR0149,4.1,396.2,296.2,197.2
BR0150,2.7,400.0,297.4,199.4
BR0151,2.7,400.0,297.4,250.4
BR0152,2.7,400.0,299.4,219.4
BR0153,2.7,400.0,297.4,250.4
BR0154,2.7,400.0,299.4,219.4
BR0155,2.7,400.0,299.4,219.4
BR0156,4.1,396.2,296.2,197.2
BR0157,4.1,396.2,296.2,281.2
BR0158,4.1,396.2,296.2,177.2
BR0159,4.1,396.2,296.2,177.2
BR0160,4.1,396.2,296.2,177.2
BR0161,2.7,400.0,297.4,199.4
BR0162,2.7,400.0,297.4,250.4
BR0163,2.7,400.0,299.4,219.4
BR0164,4.1,396.2,296.2,157.2
BR0165,2.7,400.0,297.4,199.4
BR0166,4.1,396.2,296.2,157.2
BR0167,2.7,400.0,301.4,153.4
BR0168,2.7,400.0,299.4,219.4
BR0169,2.7,400.0,299.4,219.4
BR0170,4.1,396.2,296.2,157.2
BR0171,4.1,396.2,296.2,177.2
BR0172,2.7,400.0,297.4,250.4
BR0173,2.7,400.0,299.4,219.4
BR0174,4.1,396.2,296.2,177.2
BR0175,4.1,394.2,294.2,296.2
BR0176,2.7,398.4,260.4,178.4
BR0177,2.7,398.4,260.4,178.4
BR0178,2.7,398.4,260.4,178.4
BR0179,4.1,396.2,296.2,157.2
BR0180,2.7,398.4,260.4,178.4
BR0181,2.7,398.4,260.4,178.4
BR0182,2.7,400.0,297.4,250.4
BR0183,2.7,398.4,260.4,224.4
BR0184,2.7,400.0,297.4,199.4
BR0185,2.7,398.4,260.4,296.4
BR0186,2.7,400.0,299.4,219.4
BR0187,2.7,398.4,260.4,296.4
BR0188,2.7,400.0,297.4,199.4
BR0189,2.7,398.4,260.4,250.4
BR0190,2.7,398.4,260.4,250.4
BR0191,2.7,398.4,260.4,224.4
BR0192,2.7,398.4,260.4,219.4
BR0193,2.7,398.4,260.4,296.4
BR0194,2.7,400.0,301.4,291.4
BR0195,2.7,400.0,301.4,296.4
BR0196,4.1,396.2,296.2,281.2
BR0197,2.7,400.0,297.4,199.4
BR0198,2.7,400.0,297.4,199.4
BR0199,2.7,398.4,299.4,229.4
BR0200,4.1,394.2,294.2,179.2
BR0201,2.7,400.0,301.4,224.4
BR0202,4.1,396.2,296.2,177.2
BR0203,2.7,398.4,260.4,219.4
BR0204,2.7,398.4,260.4,250.4
BR0205,2.7,400.0,297.4,250.4
BR0206,2.7,400.0,299.4,219.4
BR0207,2.7,400.0,299.4,219.4
BR0208,2.7,398.4,260.4,250.4
BR0209,2.7,400.0,297.4,199.4
BR0209XL,2.7,400.0,297.4,199.4
BR0210,4.1,396.2,296.2,177.2
BR0211,4.1,396.2,296.2,177.2
BR0212,4.1,396.2,296.2,361.2
BR0213,2.7,400.0,301.4,199.4
BR0214,2.7,400.0,301.4,199.4
BR0215,2.7,400.0,301.4,199.4
BR0216,2.7,398.4,260.4,178.4
BR0217,2.7,400.0,301.4,178.4
BR0218,4.1,396.2,296.2,177.2
BR0219,2.7,400.0,301.4,178.4
BR0220,2.7,398.4,260.4,199.4
BR0221,2.7,398.4,260.4,178.4
BR0222,2.7,398.4,260.4,219.4
BR0223,2.7,398.4,260.4,199.4
BR0224,2.7,398.4,260.4,153.4
BR0225,4.1,391.2,256.2,162.2
BR0226,2.7,398.4,260.4,199.4
BR0227,2.7,398.4,260.4,199.4
BR0228,2.7,398.4,260.4,199.4
BR0229,2.7,398.4,260.4,219.4
BR0230,2.7,400.0,301.4,143.4
BR0231,2.7,400.0,301.4,178.4
BR0232,4.1,396.2,296.2,281.2
